['Li', 'Ba', 'O']
['Li', 'Ba', 'S']
['Li', 'Ba', 'Se']
['Li', 'Ba', 'Te']
['Li', 'La', 'O']
['Li', 'La', 'S']
['Li', 'La', 'Se']
['Li', 'La', 'Te']
['Li', 'Hf', 'O']
['Li', 'Hf', 'S']
['Li', 'Hf', 'Se']
['Li', 'Hf', 'Te']
['Li', 'Ta', 'O']
['Li', 'Ta', 'S']
['Li', 'Ta', 'Se']
['Li', 'Ta', 'Te']
['Li', 'W', 'O']
['Li', 'W', 'S']
['Li', 'W', 'Se']
['Li', 'W', 'Te']
['Li', 'Re', 'O']
['Li', 'Re', 'S']
['Li', 'Re', 'Se']
['Li', 'Re', 'Te']
['Li', 'Os', 'O']
['Li', 'Os', 'S']
['Li', 'Os', 'Se']
['Li', 'Os', 'Te']
['Li', 'Ir', 'O']
['Li', 'Ir', 'S']
['Li', 'Ir', 'Se']
['Li', 'Ir', 'Te']
['Li', 'Pt', 'O']
['Li', 'Pt', 'S']
['Li', 'Pt', 'Se']
['Li', 'Pt', 'Te']
['Li', 'Au', 'O']
['Li', 'Au', 'S']
['Li', 'Au', 'Se']
['Li', 'Au', 'Te']
['Li', 'Hg', 'O']
['Li', 'Hg', 'S']
['Li', 'Hg', 'Se']
['Li', 'Hg', 'Te']
['Li', 'Tl', 'O']
['Li', 'Tl', 'S']
['Li', 'Tl', 'Se']
['Li', 'Tl', 'Te']
['Li', 'Pb', 'O']
['Li', 'Pb', 'S']
['Li', 'Pb', 'Se']
['Li', 'Pb', 'Te']
['Li', 'Bi', 'O']
['Li', 'Bi', 'S']
['Li', 'Bi', 'Se']
['Li', 'Bi', 'Te']
['Be', 'Na', 'O']
['Be', 'Na', 'S']
['Be', 'Na', 'Se']
['Be', 'Na', 'Te']
['Be', 'Mg', 'O']
['Be', 'Mg', 'S']
['Be', 'Mg', 'Se']
['Be', 'Mg', 'Te']
['Be', 'Al', 'O']
['Be', 'Al', 'S']
['Be', 'Al', 'Se']
['Be', 'Al', 'Te']
['Be', 'K', 'O']
['Be', 'K', 'S']
['Be', 'K', 'Se']
['Be', 'K', 'Te']
['Be', 'Ca', 'O']
['Be', 'Ca', 'S']
['Be', 'Ca', 'Se']
['Be', 'Ca', 'Te']
['Be', 'Sc', 'O']
['Be', 'Sc', 'S']
['Be', 'Sc', 'Se']
['Be', 'Sc', 'Te']
['Be', 'Ti', 'O']
['Be', 'Ti', 'S']
['Be', 'Ti', 'Se']
['Be', 'Ti', 'Te']
['Be', 'V', 'O']
['Be', 'V', 'S']
['Be', 'V', 'Se']
['Be', 'V', 'Te']
['Be', 'Cr', 'O']
['Be', 'Cr', 'S']
['Be', 'Cr', 'Se']
['Be', 'Cr', 'Te']
['Be', 'Mn', 'O']
['Be', 'Mn', 'S']
['Be', 'Mn', 'Se']
['Be', 'Mn', 'Te']
['Be', 'Fe', 'O']
['Be', 'Fe', 'S']
['Be', 'Fe', 'Se']
['Be', 'Fe', 'Te']
['Be', 'Co', 'O']
['Be', 'Co', 'S']
['Be', 'Co', 'Se']
['Be', 'Co', 'Te']
['Be', 'Ni', 'O']
['Be', 'Ni', 'S']
['Be', 'Ni', 'Se']
['Be', 'Ni', 'Te']
['Be', 'Cu', 'O']
['Be', 'Cu', 'S']
['Be', 'Cu', 'Se']
['Be', 'Cu', 'Te']
['Be', 'Zn', 'O']
['Be', 'Zn', 'S']
['Be', 'Zn', 'Se']
['Be', 'Zn', 'Te']
['Be', 'Ga', 'O']
['Be', 'Ga', 'S']
['Be', 'Ga', 'Se']
['Be', 'Ga', 'Te']
['Be', 'Rb', 'O']
['Be', 'Rb', 'S']
['Be', 'Rb', 'Se']
['Be', 'Rb', 'Te']
['Be', 'Sr', 'O']
['Be', 'Sr', 'S']
['Be', 'Sr', 'Se']
['Be', 'Sr', 'Te']
['Be', 'Y', 'O']
['Be', 'Y', 'S']
['Be', 'Y', 'Se']
['Be', 'Y', 'Te']
['Be', 'Zr', 'O']
['Be', 'Zr', 'S']
['Be', 'Zr', 'Se']
['Be', 'Zr', 'Te']
['Be', 'Nb', 'O']
['Be', 'Nb', 'S']
['Be', 'Nb', 'Se']
['Be', 'Nb', 'Te']
['Be', 'Mo', 'O']
['Be', 'Mo', 'S']
['Be', 'Mo', 'Se']
['Be', 'Mo', 'Te']
['Be', 'Ru', 'O']
['Be', 'Ru', 'S']
